Class	Continent1	Continent2	Country1	Country2	Country3	Family	funfact	Genus	git_url	HEIGHT	HEIGHT_IN_INCH	Infraclass	Kingdom	LENGTH	Life Span	name	Order	Phylum	Population size	POPULATION STATUS	Population Trend	SPECIES	SPEED_IN_MPH	Subclass	Subfamily	Subgenus	Suborder	Superorder	TOP SPEED	Tribe	url	WEIGHT	WEIGHT_IN_OZ	WEIGHT_IN_POUND	WINGSPAN
Aves						Accipitridae	"Lappet-faced vultures regularly visit water holes, to wash their messy faces after eating."	Torgos	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Lappet-Faced-Vulture.jpg	115-138 cm	37.4-45.28 inches	Neognathae	Animalia	95-115 cm	30-50 yrs	Lappet-Faced Vulture	Accipitriformes	Chordata	"8,500"	Endangered (EN)	Decreasing	Torgos tracheliotos	29.83 miles/hr	Neornithes	Cerylinae		Alcedini	Neoaves	48 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/lappet-faced-vulture-6.jpg	4.4-9.4 kg	155.21-331.58 oz	9.7-20.72 pounds	2.5-2.9 m
Aves						Accipitridae	RÃ¼ppellâ€™s vultures begin to fly when the sun has been up for about two hours and the spend the rest of the day flying.	Gyps	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/RÃ¼ppell's-Vulture.jpg	115-138 cm	33.46-40.55 inches	Neognathae	Animalia	85-103 cm	40-50 yrs	RÃ¼ppell's Vulture	Accipitriformes	Chordata	"22,000"	Critically Endangered (CR)	Decreasing	Gyps rueppelli	21.75 miles/hr	Neornithes	Aegypiinae		Alcedini	Neoaves	35 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/rppells-vulture-gyps-rueppelli.jpg	6.4-9 kg	225.75-317.47 oz	14.11-19.84 pounds	2.3-2.6 m
Aves						Accipitridae	Some people believe that vultures can predict everything from football scores to winning lottery numbers.	Gyps	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/White-Backed-Vulture.jpg	150-158 cm	30.71-38.58 inches	Neognathae	Animalia	78-98 cm	19 yrs	White-Backed Vulture	Accipitriformes	Chordata	"2,70,000"	Critically Endangered (CR)	Decreasing	Gyps africanus	29.83 miles/hr	Neornithes	Aegypiinae		Alcedini	Neoaves	48 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/white-backed-vulture-7.jpg	4-7 kg	141.1-246.92 oz	8.82-15.43 pounds	1.9-2.3 m
Aves						Accipitridae	"The Bateleur is thought to be the origin of the ""Zimbabwe Bird"", the national emblem of Zimbabwe."	Terathopius	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Bateleur.jpg	40-72 cm	21.65-27.56 inches	Neognathae	Animalia	55-70 cm	27 yrs	Bateleur	Accipitriformes	Chordata	10-100 thou	Near Threatened (NT)	Decreasing	Terathopius ecaudatus	49.71 miles/hr	Neornithes	Halcyoninae	Licmetis	Alcedini	Neoaves	80 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/zBhuJAfU0s7Tj7Zj5R7l.JPG	2-2.6 kg	70.55-91.71 oz	4.41-5.73 pounds	186 cm
Aves						Accipitridae	The hawk eggshells are colored green on the inside.	Buteo	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Red-Tailed-Hawk.jpg	150-158 cm	17.72-25.59 inches	Neognathae	Animalia	45-65 cm	12-28 yrs	Red-Tailed Hawk	Accipitriformes	Chordata	2.3 Mln	Least Concern (LC)	Increasing	Buteo jamaicensis	39.77 miles/hr	Neornithes	Aegypiinae		Alcedini	Neoaves	64 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/red-tailed-buzzard.jpg	"690-1,400 g"	24.34-49.38 oz	1.52-3.09 pounds	105-135 cm
Aves						Accipitridae	This eagle is so called due to having goldenish feathers on its nape.	Aquila	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Golden-Eagle.jpg	1.2 - 1.4 m	25.98-40.16 inches	Neognathae	Animalia	66-102 cm	32-46 yrs	Golden Eagle	Accipitriformes	Chordata	200-300 Thou	Least Concern (LC)	Stable	Aquila chrysaetos	79.54 miles/hr	Neornithes	Buteoninae		Alcedini	Neoaves	128 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/I7xRlSRZDvqATRYorJ9n.jpg	3.6-5 kg	126.99-176.37 oz	7.94-11.02 pounds	1.8-2.4 m
Aves						Accipitridae	"Vultures are designed for their messy job, having a wide wingspan, so they can soar for a long time without needing to flap their wings while they look for carrion."	Gyps	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Himalayan-Vulture.jpg	115-138 cm	37.4-51.18 inches	Neognathae	Animalia	95-130 cm	20-35 yrs	Himalayan Vulture	Accipitriformes	Chordata	100-500 thou	Near Threatened (NT)	Stable	Gyps himalayensis	29.83 miles/hr	Neornithes	Aegypiinae		Alcedini	Neoaves	48 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/himalayan-griffon-bhutan-s4e0109.jpg	8-12 kg	282.19-423.29 oz	17.64-26.46 pounds	270-300 cm
Aves						Alcedinidae	" Laughing kookaburras are fearless birds! They sometimes hunt large creatures, including venomous snakes that can be much longer than their bodies."	Dacelo	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Laughing-Kookaburra.jpg	40-72 cm	15.35-16.54 inches	Neognathae	Animalia	39-42 cm	11-20 yrs	Laughing Kookaburra	Coraciiformes	Chordata	"800,000-65M"	Least Concern (LC)	Stable	Dacelo novaeguineae	21.75 miles/hr	Neornithes	Halcyoninae	Licmetis	Alcedini	Neoaves	35 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/a-little-snack.jpg	310-480 g	10.93-16.93 oz	0.68-1.06 pounds	25-28 cm
Aves						Alcedinidae	"A Common kingfisher has advanced eyesight, polarizing light being one of its abilities, reducing lightâ€™s reflection off water."	Alcedo	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Common-Kingfisher.jpg	76-86 cm	6.3-6.69 inches	Neognathae	Animalia	16-17 cm	7-21 yrs	Common Kingfisher	Coraciiformes	Chordata	Unknown	Least Concern (LC)	Stable	Alcedo atthis	24.85 miles/hr	Neornithes	Alcedininae		Alcedini	Neoaves	40 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/common-kingfisher.jpg	35-40 g	1.23-1.41 oz	0.08-0.09 pounds	24-26 cm
Aves						Alcedinidae	"Azure kingfishers take it in turn to burrow out a tunnel using their feet, then they hollow out a thin chamber at the tunnelâ€™s end where they lay their eggs. These nesting tunnels can be as long as 1 meter."	Ceyx	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Azure-Kingfisher.jpg	150-190 cm	6.69-7.48 inches	Neognathae	Animalia	17-19 cm	6-14 yrs	Azure Kingfisher	Coraciiformes	Chordata	Unknown	Least Concern (LC)	Decreasing	Ceyx azureus	24.85 miles/hr	Neornithes	Alcedininae		Alcedini	Neoaves	40 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/azure-kingfisher-daintree-queensland-s4e9988.jpg	35 g	1.23 oz	0.08 pounds	65-75 cm
Aves						Alcedinidae	"Kingfishers are adept at fishing, and are named after the Anglo-Saxon word that means ""king of the fishes."""	Megaceryle	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Belted-Kingfisher.jpg	150-190 cm	11.02-13.78 inches	Neognathae	Animalia	28-35 cm	6-14 yrs	Belted Kingfisher	Coraciiformes	Chordata	Unknown	Least Concern (LC)	Stable	Megaceryle alcyon	44.74 miles/hr	Neornithes	Cerylinae		Alcedini	Neoaves	72 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/belted-kingfisher-f.jpg	113-178 g	3.99-6.28 oz	0.25-0.39 pounds	48-58 cm
Aves						Alcedinidae	"Kingfishers have a range of laughing calls with which to communicate, from a quiet chuckling sound to a loud harsh ""kek-kek, kek-kek."""	Todiramphus	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Collared-Kingfisher.jpg	75-105 cm	8.66-11.42 inches	Neognathae	Animalia	22-29 cm	11 yrs	Collared Kingfisher	Coraciiformes	Chordata	Unknown	Least Concern (LC)	Decreasing	Todiramphus chloris	24.85 miles/hr	Neornithes	Halcyoninae	Zanda	Alcedini	Neoaves	40 km/h	Caracarini	http://animalia.bio//uploads/animals/photos/full/1.25x1/collared-kingfisher.jpg	51-90 g	1.8-3.17 oz	0.11-0.2 pounds	13.5-15.5 cm
Aves						Alcedinidae	"Kingfishers have direct and fast flying, but can also hover above the water while foraging."	Corythornis	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Malachite-Kingfisher.jpg	1 m	5.12 inches	Neognathae	Animalia	13 cm	7 yrs	Malachite Kingfisher	Coraciiformes	Chordata	Unknown	Least Concern (LC)	Stable	Corythornis cristatus	24.85 miles/hr	Neornithes	Alcedininae		Alcedini	Neoaves	40 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/malagasy-kingfisher-alcedo-vintsioides-antananarivo-madagascar.jpg	12-19 g	0.42-0.67 oz	0.03-0.04 pounds	1.7 m
Aves						Alcedinidae	"The cooing of the Eurasian collared doves in early spring is mistakenly reported sometimes as the calls of cuckoos arriving early, and therefore as a mistaken sign of the return of spring."	Ceryle	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Pied-Kingfisher.jpg	60-68 cm	9.84-11.42 inches	Neognathae	Animalia	25-29 cm	4 yrs	Pied Kingfisher	Coraciiformes	Chordata	"1,7 Mln"	Least Concern (LC)	Increasing	Ceryle rudis	24.85 miles/hr	Neornithes	Cerylinae		Alcedini	Neoaves	40 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/turkduva-eurasian-collared-dove-3.jpg	70-100 g	2.47-3.53 oz	0.15-0.22 pounds	47-55 cm
Aves						Alcedinidae	"The nesting tunnel of the giant kingfisher is about 180 cm in length and 9-15 cm wide. At the end is the 20-60 diameter nest-chamber, which is unlined."	Megaceryle	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Giant-Kingfisher.jpg	1.5-1.8 m	16.54-18.9 inches	Neognathae	Animalia	42-48 cm	6-14 yrs	Giant Kingfisher	Coraciiformes	Chordata	Unknown	Least Concern (LC)	Decreasing	Megaceryle maxima	34.8 miles/hr	Neornithes	Cerylinae		Alcedini	Neoaves	56 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/giant-kingfisher-megaceryle-maxima-at-walter-sisulu-national-botanical-garden-south-africa.jpg	255-425 g	8.99-14.99 oz	0.56-0.94 pounds	114-123 cm
Aves						Alcidae	"The Great auk, although not a penguin, is often called the ""penguin of the north"". This species was the only auk that was flightless."	Pinguinus	https://raw.githubusercontent.com/Salespointincnagpur/Bird_Images/master/Great-Auk.jpg	75-85 cm	18.11 inches	Neognathae	Animalia	46 cm	20-25 yrs	Great Auk	Charadriiformes	Chordata	43-183 Thou	Extinct (EX)	Decreasing	Pinguinus impennis	74.56 miles/hr	Neornithes	Aegypiinae			Neoaves	120 km/h		http://animalia.bio//uploads/animals/photos/full/1.25x1/HpfCkgLtC7aa95hlbl8s.jpg	5-8 kg	176.37-282.19 oz	11.02-17.64 pounds	1.8-2.3 m
